Id,Contenuto,Immagine
66,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Dirty_Martini,https://it.wikipedia.org/w/api.php?action=query&titles=Dirty_Martini&prop=pageimages&format=json&pithumbsize=565
67,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Espresso_Martini,https://it.wikipedia.org/w/api.php?action=query&titles=Espresso_Martini&prop=pageimages&format=json&pithumbsize=566
68,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=French_Martini,https://it.wikipedia.org/w/api.php?action=query&titles=French_Martini&prop=pageimages&format=json&pithumbsize=567
69,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Kamikaze_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Kamikaze_(cocktail)&prop=pageimages&format=json&pithumbsize=568
70,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Lemon_Drop_Martini,https://it.wikipedia.org/w/api.php?action=query&titles=Lemon_Drop_Martini&prop=pageimages&format=json&pithumbsize=569
71,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Pisco_sour,https://it.wikipedia.org/w/api.php?action=query&titles=Pisco_sour&prop=pageimages&format=json&pithumbsize=570
72,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Russian_Spring_Punch,https://it.wikipedia.org/w/api.php?action=query&titles=Russian_Spring_Punch&prop=pageimages&format=json&pithumbsize=571
73,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Spritz,https://it.wikipedia.org/w/api.php?action=query&titles=Spritz&prop=pageimages&format=json&pithumbsize=572
74,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Margarita_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Margarita_(cocktail)&prop=pageimages&format=json&pithumbsize=573
75,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Vampiro_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Vampiro_(cocktail)&prop=pageimages&format=json&pithumbsize=574
76,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Vesper_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Vesper_(cocktail)&prop=pageimages&format=json&pithumbsize=575
77,https://it.wikipedia.org/w/api.php?action=query&prop=extracts&format=json&exsectionformat=plain&exsentences=10&titles=Yellow_Bird_(cocktail),https://it.wikipedia.org/w/api.php?action=query&titles=Yellow_Bird_(cocktail)&prop=pageimages&format=json&pithumbsize=200
